title,Levitating+Dua_Lipa,Getaway_Car+Taylor_Swift,Give_me_one_reason+Tracy_Chapman,Harleys_in_Hawaii+Katy_Perry,Lucid_Dreams+Juice_WRLD
怪物,True,True,False,True,False
廻廻奇譚,True,True,False,True,False
0 (zero),False,False,True,True,True
紅蓮華,True,True,False,True,False
歌よ,False,False,True,True,True
One Last Kiss,False,False,True,True,True
Oz.,True,True,False,True,False
ブルーバード,True,True,False,True,False
炎,True,True,False,True,False
LOST IN PARADISE,True,True,False,True,False
Black Catcher,True,True,False,True,False
インフェルノ,True,True,False,True,False
U,True,True,False,True,False
Unity,True,True,False,True,False
モラトリアム,True,True,False,True,False
Monster,True,True,False,True,False
PINK BLOOD,False,False,True,True,True
Eden,False,True,False,True,True
Call of Silence,False,False,True,True,True
Black Rover,True,True,False,True,False
往け,True,True,False,True,False
U - English Version,False,False,True,True,True
残響散歌,True,True,False,True,False
海と真珠,True,True,False,True,False
Lucky Ending,False,True,False,True,True
空と虚,True,True,False,True,False
Avid,True,True,False,True,False
透明な世界,True,True,False,True,False
明け星,True,True,False,True,False
Dream on,True,True,False,True,False
光るなら,True,True,False,True,False
優しい彗星,True,True,False,True,False
季路,True,True,False,True,False
Replica,True,True,False,True,False
Prologue,True,True,False,True,False
絶体絶命,True,True,False,True,False
Tell me,False,False,True,True,True
明け星,True,True,False,True,False
タクト,True,True,False,True,False
Ref:rain,True,True,False,True,False
生命線,True,True,False,True,False
kIng,True,True,False,True,False
嘘月,False,False,True,True,True
神無-KANNA-,True,True,False,True,False
Again,True,True,False,True,False
remember,False,False,True,True,True
嘘じゃない,True,True,False,True,False
慈雨のくちづけ,True,True,False,True,False
色香水,True,True,False,True,False
白銀,True,True,False,True,False
Hands Up to the Sky,True,True,False,True,False
BOY,True,True,False,True,False
星瞬~Star Wink~,True,True,False,True,False
EVERBLUE,True,True,False,True,False
永遠に光れ (Everlasting Shine),True,True,False,True,False
透明,False,False,True,True,True
Tiny Light,True,True,False,True,False
Sing My Pleasure,True,True,False,True,False
TWISTED HEARTS,True,True,False,True,False
A Promise,False,False,True,True,True
Mother,True,True,False,True,False
きみのうた,True,True,False,True,False
ないない,True,True,False,True,False
世界は恋に落ちている,True,True,False,True,False
プリズム,False,False,True,True,True
最後の花弁 (The meaning of love),True,True,False,True,False
うらがわの存在,True,True,False,True,False
Cry Baby,True,True,False,True,False
リセット,False,False,True,True,True
Break,False,True,False,True,True
BAD CANDY,True,True,False,True,False
Fluorite Eye's Song,True,True,False,True,False
from the edge,True,True,False,True,False
魔法,False,True,False,True,True
変わりゆくもの変わらないもの,True,True,False,True,False
標火,True,True,False,True,False
aLIEz,True,True,False,True,False
ヒカレイノチ,True,True,False,True,False
Lost Game,True,True,False,True,False
Shout Baby,True,True,False,True,False
世界の秘密,True,True,False,True,False
BEAUTIFUL,True,True,False,True,False
HOME,True,True,False,True,False
フリイジア,True,True,False,True,False
遠くの子守の唄,False,True,False,True,True
Blessing,True,True,False,True,False
Stranger,True,True,False,True,False
DYING WISH,True,True,False,True,False
結証,True,True,False,True,False
give it back,True,True,False,True,False
あなたがくれたヒカリ,True,True,False,True,False
BANG!!!,True,True,False,True,False
窓を開けて,True,True,False,True,False
シンパシー,False,False,True,True,True
Reincarnate,True,True,False,True,False
through the dark,True,True,False,True,False
"Thought I Knew ft. ra’z, Hayes",True,True,False,True,False
この夢が醒めるまで,True,True,False,True,False
CRY,True,True,False,True,False
YAMAZAKURA,False,False,True,True,True
