danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,duration,track_uri,clusterId
0.627,0.824,1,-3.419,0.118,0.0699,6.57e-05,0.31,0.774,169.935,怪物,206000,spotify:track:06XQvnJb53SUYmlWIhUXUi,0
0.585,0.91,5,-3.703,0.0917,0.0138,0.0,0.19,0.602,92.591,廻廻奇譚,221426,spotify:track:5MVjxslIF7mVtYo75Nk445,2
0.561,0.667,8,-8.519,0.0652,0.0539,0.0,0.0797,0.383,100.047,0 (zero),217807,spotify:track:3CYfCp9XAHc69wtCKTwMaj,2
0.544,0.979,4,-2.8,0.153,0.00336,0.000116,0.0775,0.31,135.001,紅蓮華,238587,spotify:track:1hFsEbHxsfflhLEPCq5tzk,0
0.305,0.252,4,-13.541,0.0419,0.395,0.0127,0.171,0.127,128.015,歌よ,238412,spotify:track:5dy1QO156l2ct1MVPzc8px,1
0.592,0.54,8,-11.249,0.0587,0.692,0.00187,0.0965,0.354,111.955,One Last Kiss,252027,spotify:track:5RhWszHMSKzb7KiXk4Ae0M,2
0.403,0.723,7,-4.609,0.0339,0.0422,7.48e-06,0.374,0.441,75.989,Oz.,194274,spotify:track:2VRcLEvQCMByWBuvM9gaJ2,4
0.536,0.966,6,-2.929,0.0558,0.121,0.0,0.0477,0.849,152.076,ブルーバード,217013,spotify:track:2aWtTHMBKdd6NfKT2GMfiK,2
0.477,0.685,2,-4.554,0.0325,0.105,0.0,0.277,0.308,152.04,炎,275000,spotify:track:0cSkn2l67csUljEy0EEBPn,4
0.648,0.904,6,-4.565,0.0786,0.0961,2.07e-06,0.0629,0.728,121.994,LOST IN PARADISE,327967,spotify:track:7kRKlFCFLAUwt43HWtauhX,2
0.592,0.894,11,-4.71,0.042,0.00358,5.32e-06,0.0721,0.642,100.026,Black Catcher,196947,spotify:track:2y7f8qkrgIqY5KsfPNcuix,2
0.529,0.931,4,-1.538,0.0581,0.00955,0.0,0.465,0.695,92.466,インフェルノ,212547,spotify:track:64yajM6CxtLghmgB53VeXT,4
0.651,0.913,9,-5.667,0.0384,0.0437,0.00133,0.311,0.736,120.028,U,187267,spotify:track:32H7fwKsaYtSl6qiXFI6I6,4
0.604,0.711,1,-6.674,0.0348,0.165,0.0,0.0872,0.286,127.892,Unity,246407,spotify:track:3YQoygT4wAXxvITZDvLAGx,2
0.564,0.688,5,-3.806,0.0551,0.255,0.0,0.322,0.457,156.082,モラトリアム,287385,spotify:track:5eHmOGj5szF3Pm9fHWVwuq,4
